input,the_rank,recommendation,type1,type2,abilities,generation,learn_more
Abomasnow,1,Exeggutor,grass,psychic,"Chlorophyll, Harvest, Frisk, Harvest",1,https://pokemondb.net/pokedex/Exeggutor
Abomasnow,2,Ampharos,electric,,"Static, Plus",2,https://pokemondb.net/pokedex/Ampharos
Abomasnow,3,Celesteela,steel,flying,Beast Boost,7,https://pokemondb.net/pokedex/Celesteela
Abomasnow,4,Volcanion,fire,water,Water Absorb,6,https://pokemondb.net/pokedex/Volcanion
Abomasnow,5,Magearna,steel,fairy,Soul-Heart,7,https://pokemondb.net/pokedex/Magearna
Abomasnow,6,Swampert,water,ground,"Torrent, Damp",3,https://pokemondb.net/pokedex/Swampert
Abomasnow,7,Necrozma,psychic,,Prism Armor,7,https://pokemondb.net/pokedex/Necrozma
Abomasnow,8,Dragonite,dragon,flying,"Inner Focus, Multiscale",1,https://pokemondb.net/pokedex/Dragonite
Abomasnow,9,Blastoise,water,,"Torrent, Rain Dish",1,https://pokemondb.net/pokedex/Blastoise
Abomasnow,10,Altaria,dragon,flying,"Natural Cure, Cloud Nine",3,https://pokemondb.net/pokedex/Altaria
Abra,1,Gastly,ghost,poison,Levitate,1,https://pokemondb.net/pokedex/Gastly
Abra,2,Smoochum,ice,psychic,"Oblivious, Forewarn, Hydration",2,https://pokemondb.net/pokedex/Smoochum
Abra,3,Treecko,grass,,"Overgrow, Unburden",3,https://pokemondb.net/pokedex/Treecko
Abra,4,Staryu,water,,"Illuminate, Natural Cure, Analytic",1,https://pokemondb.net/pokedex/Staryu
Abra,5,Salandit,poison,fire,"Corrosion, Oblivious",7,https://pokemondb.net/pokedex/Salandit
Abra,6,Helioptile,electric,normal,"Dry Skin, Sand Veil, Solar Power",6,https://pokemondb.net/pokedex/Helioptile
Abra,7,Houndour,dark,fire,"Early Bird, Flash Fire, Unnerve",2,https://pokemondb.net/pokedex/Houndour
Abra,8,Wingull,water,flying,"Keen Eye, Hydration, Rain Dish",3,https://pokemondb.net/pokedex/Wingull
Abra,9,Natu,psychic,flying,"Synchronize, Early Bird, Magic Bounce",2,https://pokemondb.net/pokedex/Natu
Abra,10,Meowth,normal,dark,"Pickup, Technician, Unnerve, Pickup, Technician, Rattled",1,https://pokemondb.net/pokedex/Meowth
Absol,1,Archeops,rock,flying,Defeatist,5,https://pokemondb.net/pokedex/Archeops
Absol,2,Sharpedo,water,dark,"Rough Skin, Speed Boost",3,https://pokemondb.net/pokedex/Sharpedo
Absol,3,Azelf,psychic,,Levitate,4,https://pokemondb.net/pokedex/Azelf
Absol,4,Lucario,fighting,steel,"Steadfast, Inner Focus, Justified",4,https://pokemondb.net/pokedex/Lucario
Absol,5,Blaziken,fire,fighting,"Blaze, Speed Boost",3,https://pokemondb.net/pokedex/Blaziken
Absol,6,Greninja,water,dark,"Torrent, Protean, Battle Bond",6,https://pokemondb.net/pokedex/Greninja
Absol,7,Glalie,ice,,"Inner Focus, Ice Body, Moody",3,https://pokemondb.net/pokedex/Glalie
Absol,8,Electivire,electric,,"Motor Drive, Vital Spirit",4,https://pokemondb.net/pokedex/Electivire
Absol,9,Landorus,ground,flying,"Sand Force, Sheer Force, Intimidate",5,https://pokemondb.net/pokedex/Landorus
Absol,10,Banette,ghost,,"Insomnia, Frisk, Cursed Body",3,https://pokemondb.net/pokedex/Banette
Accelgor,1,Salazzle,poison,fire,"Corrosion, Oblivious",7,https://pokemondb.net/pokedex/Salazzle
Accelgor,2,Ribombee,bug,fairy,"Honey Gather, Shield Dust, Sweet Veil",7,https://pokemondb.net/pokedex/Ribombee
Accelgor,3,Galvantula,bug,electric,"Compoundeyes, Unnerve, Swarm",5,https://pokemondb.net/pokedex/Galvantula
Accelgor,4,Talonflame,fire,flying,"Flame Body, Gale Wings",6,https://pokemondb.net/pokedex/Talonflame
Accelgor,5,Swoobat,psychic,flying,"Unaware, Klutz, Simple",5,https://pokemondb.net/pokedex/Swoobat
Accelgor,6,Swellow,normal,flying,"Guts, Scrappy",3,https://pokemondb.net/pokedex/Swellow
Accelgor,7,Persian,normal,dark,"Limber, Technician, Unnerve, Fur Coat, Technician, Rattled",1,https://pokemondb.net/pokedex/Persian
Accelgor,8,Minior,rock,flying,Shields Down,7,https://pokemondb.net/pokedex/Minior
Accelgor,9,Jolteon,electric,,"Volt Absorb, Quick Feet",1,https://pokemondb.net/pokedex/Jolteon
Accelgor,10,Noivern,flying,dragon,"Frisk, Infiltrator, Telepathy",6,https://pokemondb.net/pokedex/Noivern
Aegislash,1,Sharpedo,water,dark,"Rough Skin, Speed Boost",3,https://pokemondb.net/pokedex/Sharpedo
Aegislash,2,Absol,dark,,"Pressure, Super Luck, Justified",3,https://pokemondb.net/pokedex/Absol
Aegislash,3,Blaziken,fire,fighting,"Blaze, Speed Boost",3,https://pokemondb.net/pokedex/Blaziken
Aegislash,4,Archeops,rock,flying,Defeatist,5,https://pokemondb.net/pokedex/Archeops
Aegislash,5,Lucario,fighting,steel,"Steadfast, Inner Focus, Justified",4,https://pokemondb.net/pokedex/Lucario
Aegislash,6,Banette,ghost,,"Insomnia, Frisk, Cursed Body",3,https://pokemondb.net/pokedex/Banette
Aegislash,7,Azelf,psychic,,Levitate,4,https://pokemondb.net/pokedex/Azelf
Aegislash,8,Thundurus,electric,flying,"Prankster, Defiant, Volt Absorb",5,https://pokemondb.net/pokedex/Thundurus
Aegislash,9,Glalie,ice,,"Inner Focus, Ice Body, Moody",3,https://pokemondb.net/pokedex/Glalie
Aegislash,10,Xurkitree,electric,,Beast Boost,7,https://pokemondb.net/pokedex/Xurkitree
Aerodactyl,1,Meloetta,normal,psychic,Serene Grace,5,https://pokemondb.net/pokedex/Meloetta
Aerodactyl,2,Terrakion,rock,fighting,Justified,5,https://pokemondb.net/pokedex/Terrakion
Aerodactyl,3,Gallade,psychic,fighting,"Steadfast, Justified",4,https://pokemondb.net/pokedex/Gallade
Aerodactyl,4,Tornadus,flying,,"Prankster, Defiant, Regenerator",5,https://pokemondb.net/pokedex/Tornadus
Aerodactyl,5,Kangaskhan,normal,,"Early Bird, Scrappy, Inner Focus",1,https://pokemondb.net/pokedex/Kangaskhan
Aerodactyl,6,Electivire,electric,,"Motor Drive, Vital Spirit",4,https://pokemondb.net/pokedex/Electivire
Aerodactyl,7,Shaymin,grass,grass,"Natural Cure, Serene Grace",4,https://pokemondb.net/pokedex/Shaymin
Aerodactyl,8,Archeops,rock,flying,Defeatist,5,https://pokemondb.net/pokedex/Archeops
Aerodactyl,9,Sharpedo,water,dark,"Rough Skin, Speed Boost",3,https://pokemondb.net/pokedex/Sharpedo
Aerodactyl,10,Azelf,psychic,,Levitate,4,https://pokemondb.net/pokedex/Azelf
Aggron,1,Steelix,steel,ground,"Rock Head, Sturdy, Sheer Force",2,https://pokemondb.net/pokedex/Steelix
Aggron,2,Regirock,rock,,"Clear Body, Sturdy",3,https://pokemondb.net/pokedex/Regirock
Aggron,3,Avalugg,ice,,"Own Tempo, Ice Body, Sturdy",6,https://pokemondb.net/pokedex/Avalugg
Aggron,4,Cloyster,water,ice,"Shell Armor, Skill Link, Overcoat",1,https://pokemondb.net/pokedex/Cloyster
Aggron,5,Golisopod,bug,water,Emergency Exit,7,https://pokemondb.net/pokedex/Golisopod
Aggron,6,Doublade,steel,ghost,No Guard,6,https://pokemondb.net/pokedex/Doublade
Aggron,7,Scizor,bug,steel,"Swarm, Technician, Light Metal",2,https://pokemondb.net/pokedex/Scizor
Aggron,8,Golem,rock,ground,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1,https://pokemondb.net/pokedex/Golem
Aggron,9,Forretress,bug,steel,"Sturdy, Overcoat",2,https://pokemondb.net/pokedex/Forretress
Aggron,10,Gigalith,rock,,"Sturdy, Sand Stream, Sand Force",5,https://pokemondb.net/pokedex/Gigalith
Aipom,1,Buneary,normal,,"Run Away, Klutz, Limber",4,https://pokemondb.net/pokedex/Buneary
Aipom,2,Deerling,normal,grass,"Chlorophyll, Sap Sipper, Serene Grace",5,https://pokemondb.net/pokedex/Deerling
Aipom,3,Staravia,normal,flying,"Intimidate, Reckless",4,https://pokemondb.net/pokedex/Staravia
Aipom,4,Trumbeak,normal,flying,"Keen Eye, Skill Link, Pickup",7,https://pokemondb.net/pokedex/Trumbeak
Aipom,5,Vibrava,ground,dragon,Levitate,3,https://pokemondb.net/pokedex/Vibrava
Aipom,6,Pidgeotto,normal,flying,"Keen Eye, Tangled Feet, Big Pecks",1,https://pokemondb.net/pokedex/Pidgeotto
Aipom,7,Krokorok,ground,dark,"Intimidate, Moxie, Anger Point",5,https://pokemondb.net/pokedex/Krokorok
Aipom,8,Stunky,poison,dark,"Stench, Aftermath, Keen Eye",4,https://pokemondb.net/pokedex/Stunky
Aipom,9,Nidorino,poison,,"Poison Point, Rivalry, Hustle",1,https://pokemondb.net/pokedex/Nidorino
Aipom,10,Goldeen,water,,"Swift Swim, Water Veil, Lightningrod",1,https://pokemondb.net/pokedex/Goldeen
Alakazam,1,Gengar,ghost,poison,Cursed Body,1,https://pokemondb.net/pokedex/Gengar
Alakazam,2,Manectric,electric,,"Static, Lightningrod, Minus",3,https://pokemondb.net/pokedex/Manectric
Alakazam,3,Darkrai,dark,,Bad Dreams,4,https://pokemondb.net/pokedex/Darkrai
Alakazam,4,Sceptile,grass,,"Overgrow, Unburden",3,https://pokemondb.net/pokedex/Sceptile
Alakazam,5,Pidgeot,normal,flying,"Keen Eye, Tangled Feet, Big Pecks",1,https://pokemondb.net/pokedex/Pidgeot
Alakazam,6,Gardevoir,psychic,fairy,"Synchronize, Trace, Telepathy",3,https://pokemondb.net/pokedex/Gardevoir
Alakazam,7,Houndoom,dark,fire,"Early Bird, Flash Fire, Unnerve",2,https://pokemondb.net/pokedex/Houndoom
Alakazam,8,Volcarona,bug,fire,"Flame Body, Swarm",5,https://pokemondb.net/pokedex/Volcarona
Alakazam,9,Charizard,fire,flying,"Blaze, Solar Power",1,https://pokemondb.net/pokedex/Charizard
Alakazam,10,Tapu Lele,psychic,fairy,"Psychic Surge, Telepathy",7,https://pokemondb.net/pokedex/Tapu Lele
Alomomola,1,Hariyama,fighting,,"Thick Fat, Guts, Sheer Force",3,https://pokemondb.net/pokedex/Hariyama
Alomomola,2,Wailord,water,,"Water Veil, Oblivious, Pressure",3,https://pokemondb.net/pokedex/Wailord
Alomomola,3,Drifblim,ghost,flying,"Aftermath, Unburden, Flare Boost",4,https://pokemondb.net/pokedex/Drifblim
Alomomola,4,Wobbuffet,psychic,,"Shadow Tag, Telepathy",2,https://pokemondb.net/pokedex/Wobbuffet
Alomomola,5,Wigglytuff,normal,fairy,"Cute Charm, Competitive, Frisk",1,https://pokemondb.net/pokedex/Wigglytuff
